,Comments,CommentID,CommentReply,CommentLike,PublishDate,VideoID,MovieDate,MovieLink,CommentDate,Difference,Comments_after_preprocess,Sentiment
241325,"i cant wait for this, ive been waiting for almost 2 years omg Drake looks awesome in this movie!",UgiWvV8yinITFngCoAEC,0.0,0,2015-02-06T00:46:05Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2015-02-06,186.0,"cant wait , ive waiting almost 2 year omg drake look awesome movie !",1
241326,does anyone actually watch these movies...?,UghiV9R964MCUHgCoAEC,0.0,0,2015-01-29T21:29:49Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2015-01-29,194.0,anyone actually watch movie ... ?,0
241327,"Hey L.A slasher if u would here's a list of celebertites: Justin Bieber, Kim Kardashian, Kanya west, and and Victoria Secret models. ",UgiWcrx2Z6JqOngCoAEC,0.0,0,2014-12-24T20:45:19Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-12-24,230.0,"hey l.a slasher u would 's list celebertites : justin bieber , kim kardashian , kanya west , victoria secret model .",0
241328,Is that Andy Dicks's voice?,UghkOr7hxSCwo3gCoAEC,0.0,0,2014-12-23T23:05:04Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-12-23,231.0,andy dick 's voice ?,0
241329,will be in Mexico? :DD,UginohfZNh0WGHgCoAEC,0.0,0,2014-11-03T21:18:03Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-11-03,281.0,mexico ? : dd,0
241330,Looks like crap,UgiuEVpduHWg_HgCoAEC,0.0,0,2014-10-24T22:22:08Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-10-24,291.0,look like crap,1
241331,Drake Bell lmfao,UghocoqM0zK_4XgCoAEC,0.0,0,2014-10-04T05:40:31Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-10-04,311.0,drake bell lmfao,1
241332,"welp. porn star automatically equals shitty and/or low budget film. usually one in the same. everybody knows porn stars dont get actual roles in big budget, good movies.",Ugj1YKAM3dr2nXgCoAEC,0.0,0,2014-10-01T23:41:19Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-10-01,314.0,"welp . porn star automatically equal shitty and/or low budget film . usually one . everybody know porn star dont get actual role big budget , good movie .",1
241333,Please no kill Tori Black :(,UghmBgeH-mB6MXgCoAEC,1.0,1,2014-10-01T03:00:46Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-10-01,314.0,please kill torus black : (,1
241334,1:35 #cinemasins 1:45 #Markiplier,UgiCyjc-1_l96XgCoAEC,0.0,1,2014-09-30T05:07:44Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-30,315.0,1:35 # cinemasins 1:45 # markiplier,0
241335,"K
",Ugh2oDV5cFgv7HgCoAEC,0.0,0,2014-09-29T12:33:18Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-29,316.0,k,0
241336,This reminds me of the Spongebob episode when squidward was trying to scare Spongebob about the slasher ,UghIreCTU26viHgCoAEC,1.0,0,2014-09-28T05:15:15Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-28,317.0,reminds spongebob episode squidward trying scare spongebob slasher,0
241337,I paused at 0:41 because I thought it was @Dave Days but I think that it was actually @Drake Bell . 1:21... yup.,UgjtIn8ltd3U4XgCoAEC,0.0,6,2014-09-28T00:15:12Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-28,317.0,paused 0:41 thought @ dave day think actually @ drake bell . 1:21 ... yup .,0
241338,"once again, a snake eating itself",UgiB_0MFUsWBgngCoAEC,0.0,0,2014-09-27T19:24:40Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-27,318.0,", snake eating",0
241339,Looks like my kinda guy...,UgiNnRGuD6mkz3gCoAEC,0.0,0,2014-09-27T19:13:39Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-27,318.0,look like kinda guy ...,1
241340,i could be mistaken...but was that Cinema Sins at the end,UgjMI_PxWBRRuHgCoAEC,0.0,0,2014-09-27T16:18:56Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-27,318.0,could mistaken ... cinema sin end,0
241341,i actually think this looks good,UgjHkWPWmv526XgCoAEC,0.0,1,2014-09-26T21:17:34Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-26,319.0,actually think look good,1
241342,Will watch because of Tori Black 1:06,Ugg6w0-9_GYEYHgCoAEC,0.0,1,2014-09-26T20:20:14Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-26,319.0,watch torus black 1:06,0
241343,What is this?  Ugghhhh. It could of been so much more.,UghMnbr4ip5YY3gCoAEC,0.0,0,2014-09-26T13:42:06Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-26,319.0,? ugghhhh . could much .,0
241344,"Since someone already answered my question about the song, what about is there a full version to that mix or only 55 secs?",UgiUAERdO2JImXgCoAEC,0.0,0,2014-09-26T04:29:20Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-26,319.0,"since someone already answered question song , full version mix 55 sec ?",0
241345,Was anyone lucky enough to find the remix version of the trailer song? I know it's ABC - the look of love. Who's the mixer?,UgjurIMEn42cY3gCoAEC,0.0,0,2014-09-26T03:58:16Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-26,319.0,anyone lucky enough find remix version trailer song ? know 's abc - look love . 's mixer ?,1
241346,Tori Black! :D,UgilPeDO33_Mi3gCoAEC,0.0,0,2014-09-26T01:49:05Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-26,319.0,torus black ! :,0
241347,Alguien tiene el link de la canción ? Parece buena la película :) ,UghF6LHZV9EZWXgCoAEC,0.0,1,2014-09-26T00:36:44Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-26,319.0,alguien tiene el link de la canción ? parece buena la película : ),0
241348,IS THAT BOINGO?,UgigEBPyD7V77HgCoAEC,0.0,0,2014-09-25T22:53:52Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,boingo ?,0
241349,Texas Chainsaw Massacre meets Drive,UghjezrDokA7u3gCoAEC,0.0,2,2014-09-25T19:19:42Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,texas chainsaw massacre meet drive,0
241350,You know a movie is Low budget when there is a Porn Star in it and it's an Indie Movie...,UgjVvlBm3Npv7HgCoAEC,0.0,0,2014-09-25T16:52:41Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,know movie low budget porn star 's indie movie ...,0
241351,lol i'm really glad that the film career of barton can finally take off after she killed The O.C. to pursue it..... stupid B*@!&,UghPr4YC8UN2jXgCoAEC,0.0,0,2014-09-25T16:35:08Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,lol 'm really glad film career barton finally take killed o.c . pursue ..... stupid b * @ ! &,1
241352,"NICE! What this movie is to reality TV was what Natural Born Killers was to slasher movies... ironically. lol But damn smart idea if there ever was one.

Also, Cinema Sins sound effects much?",UggD9WPdTwikfngCoAEC,0.0,2,2014-09-25T14:54:27Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,"nice ! movie reality tv natural born killer slasher movie ... ironically . lol damn smart idea ever one . also , cinema sin sound effect much ?",1
241353,Is Roger from American dad narrating this?,Ugj1peS25YScxXgCoAEC,0.0,0,2014-09-25T12:40:35Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,roger american dad narrating ?,0
241354,Why does the slasher guy look like Michael Jackson... If I'm right that's f**king sicking they'd use his image like that!,Ugh2zrYnWMCIoXgCoAEC,1.0,0,2014-09-25T12:09:44Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,slasher guy look like michael jackson ... 'm right 's f * * king sicking 'd use image like !,1
241355,why would Dave Bautista be in a non action move?,UgizObsUW-GgjXgCoAEC,0.0,0,2014-09-25T12:09:31Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,would dave bautista non action move ?,0
241356,this movie's gonna suck so hard,UggLsW3dws_2YXgCoAEC,0.0,0,2014-09-25T11:11:27Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,movie 's gon na suck hard,0
241357,Cinema Sins anyone? 1:35,UgiKE8w2S7ARmngCoAEC,0.0,0,2014-09-25T11:05:16Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,cinema sin anyone ? 1:35,0
241358,"If this would happen in reality, there would be much more space in Los Angeles. ",UgjKL7W0dLU7I3gCoAEC,0.0,5,2014-09-25T07:57:37Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,"would happen reality , would much space los angeles .",0
241359,what is this??,UgjAP3VJ0BzSingCoAEC,0.0,0,2014-09-25T06:07:02Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,? ?,0
241360,"The music is ABC's ""Look of Love"" remixed by Julian Scherle https://soundcloud.com/whoisjul/look-of-love-jul-remix-mp3",Ughwv2sDv90XM3gCoAEC,1.0,1,2014-09-25T05:05:26Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,music abc 's `` look love '' remixed julian scherle http : //soundcloud.com/whoisjul/look-of-love-jul-remix-mp3,1
241361,k so whats the soundtrack for this?,UgiO_bxglvjFqngCoAEC,2.0,1,2014-09-25T04:56:48Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,k whats soundtrack ?,0
241362,Is this a promo for a terrible movie or an decent music video?,Uggk9lsu9EVZs3gCoAEC,0.0,0,2014-09-25T03:33:21Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,promo terrible movie decent music video ?,0
241363,WOOOOOOW NO,UgjH4VLFH-Q_ZHgCoAEC,0.0,0,2014-09-25T03:31:44Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,woooooow,0
241364,I am shockingly interested in this...,UghKz--DAXMNG3gCoAEC,0.0,3,2014-09-25T02:05:24Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,shockingly interested ...,1
241365,1:36 CinemaSins?,UgjxdGC7gVGLlXgCoAEC,0.0,0,2014-09-25T01:16:26Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,1:36 cinemasins ?,0
241366,I hope this is good..,Ughp8eM3mqQuPngCoAEC,0.0,3,2014-09-25T01:11:31Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,hope good ..,1
241367,"So he's like a disco michael Myers, sweet XD",UggD4iFprU843XgCoAEC,0.0,3,2014-09-25T01:10:50Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-25,320.0,"'s like disco michael myers , sweet xd",1
241368,Goodbye Justin Beiber,UginFNpXTE6sIXgCoAEC,0.0,3,2014-09-24T23:38:53Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,goodbye justin beiber,0
241369,Mischa Barton! OMG I love her in The O.C <3 can't wait,UggB085AXCzI33gCoAEC,0.0,8,2014-09-24T23:30:06Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,mischa barton ! omg love o.c < 3 ca n't wait,1
241370,good to see that Barton is back to work. classy lady.,Ugi3UMw_TbFYS3gCoAEC,0.0,4,2014-09-24T23:23:24Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,good see barton back work . classy lady .,1
241371,"Can I send the slasher a wish list? Kim Kardashian, Kanye & Kompany... ",Ugj6vtCpkxhtwHgCoAEC,1.0,3,2014-09-24T23:03:20Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,"send slasher wish list ? kim kardashian , kanye & kompany ...",1
241372,Tori Black :O,UghrD0vrJKBvx3gCoAEC,0.0,3,2014-09-24T23:02:10Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,torus black :,0
241373,at 1:20 is that Drake Bell,UggL7pDXgzYTKHgCoAEC,0.0,4,2014-09-24T22:24:26Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,1:20 drake bell,0
241374,Brilliant!!!!!!!!!!! It's about damn time somebody does away with those idiots.,UgjJLp5hU9duP3gCoAEC,0.0,5,2014-09-24T22:12:05Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,brilliant ! ! ! ! ! ! ! ! ! ! ! 's damn time somebody away idiot .,1
241375,Boring ,Ugiz1FMpe6h9U3gCoAEC,0.0,0,2014-09-24T21:59:48Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,boring,0
241376,If the film is as stylized as the trailer then this will be so much better than shitty God Bless America ,UghrwlF9T4exrHgCoAEC,0.0,7,2014-09-24T21:54:47Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,film stylized trailer much better shitty god bless america,1
241377,Looks sick I want to see it.,Ugj6yykG2SbcaHgCoAEC,0.0,4,2014-09-24T21:46:19Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,look sick want see .,1
241378,Hope Eric Roberts does just a cameo like Drew Barrymore did in Scream 1 and dies first.,UgivZznCqtJmungCoAEC,0.0,4,2014-09-24T21:25:56Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,hope eric robert cameo like drew barrymore scream 1 dy first .,1
241379,FINALLY !! This looks... Beautiful !?!  I can't f***ing wait. I just had my own little party to that trailer! ,UgjHOpSc8lVD93gCoAEC,0.0,5,2014-09-24T21:01:16Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,finally ! ! look ... beautiful ! ? ! ca n't f * * * ing wait . little party trailer !,1
241380,Anybody else thought cinema sins at the end lol,UgjDV8o9Gb8_engCoAEC,0.0,2,2014-09-24T20:22:30Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,anybody else thought cinema sin end lol,1
241381,Andy Dick is in this??,UggLwRJQwvomfHgCoAEC,0.0,2,2014-09-24T20:14:11Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,andy dick ? ?,0
241382,Is that Andy Dick talking though this trailer? ,Ugj5itbW1DqpaHgCoAEC,0.0,2,2014-09-24T20:02:54Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,andy dick talking though trailer ?,0
241383,Is that Andy Dick talking though this trailer? ,UgjNk8WFtW8jQXgCoAEC,1.0,6,2014-09-24T20:02:51Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,andy dick talking though trailer ?,0
241384,Would like to see this. :),UggN-33D1qOIaHgCoAEC,0.0,3,2014-09-24T19:58:10Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,would like see . : ),1
241385,tori black tho,UghcH4n5ZTEziHgCoAEC,0.0,4,2014-09-24T19:48:03Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,torus black tho,0
241386,When and where can I see this movie?! I love it!,UggLyJiXFizu8XgCoAEC,0.0,6,2014-09-24T19:21:59Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,see movie ? ! love !,1
241387,Lmao what the hell?,UgiMtt6KNrxOd3gCoAEC,0.0,3,2014-09-24T19:10:00Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,lmao hell ?,1
241388,"Awesome, can't wait!",Uggh2200zjqk4HgCoAEC,0.0,6,2014-09-24T19:09:51Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,"awesome , ca n't wait !",1
241389,wasn't that the cinemasins theme at the end?!?!?!,UgiXA0WwBa18engCoAEC,1.0,27,2014-09-24T19:06:20Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,n't cinemasins theme end ? ! ? ! ? !,0
241390,"Is this not just Hotline Miami the movie, but set in LA and without the masks, plus I worse premise ",UgilymPnR3PTangCoAEC,0.0,0,2014-09-24T18:59:08Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,"hotline miami movie , set la without mask , plus worse premise",1
241391,"As soon as i heard Andy Dick, i clicked off.  Pass",UgjVKIuluARgeXgCoAEC,0.0,0,2014-09-24T18:57:12Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,"soon heard andy dick , clicked . pas",0
241392,only interesting thing in this trailer is porn star Tori Black is in this.,UghTx5IuEaVTbngCoAEC,0.0,0,2014-09-24T18:53:29Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,interesting thing trailer porn star torus black .,1
241393,So this movie looks horrible and it appears that drake bell is going to die :/,UgjmM0uVQs4XPngCoAEC,0.0,0,2014-09-24T18:38:48Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,movie look horrible appears drake bell going die : /,0
241394,"1:07
You know you recognize her ;)",UghnFVwhZEbUpHgCoAEC,0.0,6,2014-09-24T18:38:26Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,1:07 know recognize ; ),0
241395,Dafuq did i just watch?,Ugg41U4I4TFssHgCoAEC,0.0,1,2014-09-24T18:23:17Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,dafuq watch ?,0
241396,"id so watch it, looks funny!",UghPcqIzi5JPQXgCoAEC,0.0,5,2014-09-24T18:07:57Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,"id watch , look funny !",1
241397,"Could be Good, formats interesting. We'll see how it rolls..",UghBanmMhvA2THgCoAEC,0.0,3,2014-09-24T17:55:14Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,"could good , format interesting . 'll see roll ..",1
241398,"Could be Good, formats interesting. We'll see how it rolls..",Ugj9uEJQpMK5nXgCoAEC,0.0,5,2014-09-24T17:55:15Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,"could good , format interesting . 'll see roll ..",1
241399,meh,UgiXc2REYqVg9ngCoAEC,0.0,1,2014-09-24T17:48:23Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,meh,0
241400,Wtf,Ugjlz4--dcbBIngCoAEC,0.0,0,2014-09-24T17:35:24Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,wtf,0
241401,"looks like crap...just like the real tv shows..
we see Micha Barton like 1.5 sec total while title says ''Micha Barton movie''",Ugj21UA4jywX33gCoAEC,0.0,1,2014-09-24T17:34:30Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,look like crap ... like real tv show .. see micha barton like 1.5 sec total title say `` micha barton movie '',1
241402,So does anyone know what the music in this trailer was? It sounds like a 80s disco song.,Ugi-YEiw4IKIPHgCoAEC,11.0,4,2014-09-24T17:31:53Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,anyone know music trailer ? sound like 80 disco song .,1
241403,See I knew Michel Jackson was still alive he's the slasher in the movie .!! ,UggPKe8kdcp_UXgCoAEC,0.0,4,2014-09-24T17:26:36Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,see knew michel jackson still alive 's slasher movie . ! !,1
241404,"Looks awful. For Dave Bautista this is going from one extreme to another, from the excellent guardians of the galaxy to this pile of shite.",UgjmiTG1Op6xXXgCoAEC,2.0,0,2014-09-24T16:41:50Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,"look awful . dave bautista going one extreme another , excellent guardian galaxy pile shite .",1
241405,"YES!!! Please!!! I would be glad for a real Death of Reality shows. I hate them very much and I don't watch them.
About the horror.... Not so scary, but the Killer is... ""fabulous""? I don't know, but I'll watch cause of Drax the Destroyer (and that killer. He reminds me Jeff the Killer).

No. Really. This slash is not scary.",UgiCPhngKOnu6ngCoAEC,1.0,10,2014-09-24T16:35:42Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,"yes ! ! ! please ! ! ! would glad real death reality show . hate much n't watch . horror .... scary , killer ... `` fabulous '' ? n't know , 'll watch cause drax destroyer ( killer . reminds jeff killer ) . . really . slash scary .",1
241406,I like this. Batista at 00:40,UgjmXVaDZm50zXgCoAEC,0.0,5,2014-09-24T16:24:20Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,like . batista 00:40,1
241407,If anyone's interested the movie 'God bless America' had a similar plot......,UgjuQ48JlQmURHgCoAEC,3.0,2,2014-09-24T16:17:00Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,anyone 's interested movie 'god bless america ' similar plot ......,1
241408,God Bless America is better than this.,Ugi3srw2X-1qZXgCoAEC,5.0,22,2014-09-24T16:14:16Z,CzWs3YO3Avo,2015-08-11,https://www.imdb.com/title/tt2735292/?ref_=adv_li_tt,2014-09-24,321.0,god bless america better .,1
