Comments,CommentID,CommentReply,CommentLike,PublishDate,VideoID,MovieDate,MovieLink,CommentDate,Difference
Looks boring,UgxjwTZGEbzVYnFLWGl4AaABAg,0,3,2020-02-20T19:20:44Z,vDnmZrNkUr0,2020-03-13,https://www.imdb.com/title/tt7579446/?ref_=adv_li_tt,2020-02-20,22
Interesting,UgzkExmSL2-6EisUqct4AaABAg,0,1,2020-02-20T19:20:14Z,vDnmZrNkUr0,2020-03-13,https://www.imdb.com/title/tt7579446/?ref_=adv_li_tt,2020-02-20,22
"Okay, I'm watching this",UgxUKHf_lRPmyKOapPl4AaABAg,0,7,2020-02-20T19:20:06Z,vDnmZrNkUr0,2020-03-13,https://www.imdb.com/title/tt7579446/?ref_=adv_li_tt,2020-02-20,22
"oh snap, my Hitta YG 400!",UgxWMcDQW6IpHAL5kXp4AaABAg,0,5,2020-02-20T19:19:38Z,vDnmZrNkUr0,2020-03-13,https://www.imdb.com/title/tt7579446/?ref_=adv_li_tt,2020-02-20,22
Just watched his perfrmance in The Rookie on fox and im not impressed by Pete.,Ugxs2o8iXOP-M5Zhd854AaABAg,0,1,2020-03-12T23:31:37Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-03-12,1
Pete is trash. No thanks,Ugx9SavfFncsvSsLG494AaABAg,0,3,2020-03-12T20:30:31Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-03-12,1
Idk looks boring,Ugzxn8xZPPft36aJc4p4AaABAg,0,2,2020-03-12T18:41:40Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-03-12,1
Looks good!!!,Ugzlpiu4aIYhTq4IFW14AaABAg,0,2,2020-03-12T15:01:52Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-03-12,1
Hell yeah mgk is in here,UgyFRI_6YFS5o5XCVgp4AaABAg,0,14,2020-03-12T14:35:07Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-03-12,1
You Totally Rock Pete Davidson!!😎👊👅,Ugz9_WLGfdRjqxIu0_54AaABAg,0,3,2020-03-12T14:16:28Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-03-12,1
"I don't get why there is/was any kind of hype for Pete, but this movie is intriguing. Not gonna go out of my way to see it but I'd watch it. That's MGK talking about the 16 year old right?",UgyJCwZuEZbZv8w3FsJ4AaABAg,0,1,2020-03-12T14:09:24Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-03-12,1
I'm all in for this!! It looks like it brings back the old skool nostalgia of an actually funny movie.,UgzWA7KZlUhhd_HraFh4AaABAg,0,26,2020-03-12T13:48:07Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-03-12,1
"This dude didn't kill himself... yet!?? Lol soon, it looks like",UgwNtbxhHcnm40wITLl4AaABAg,0,0,2020-03-12T12:28:35Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-03-12,1
is this pete davidson's year?,Ugw-Vw-DQWcVqwax3z54AaABAg,1,45,2020-02-21T07:07:38Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-02-21,21
Looks kind of like Mid 90s.,Ugx_sW4I3r0PbI4FnO94AaABAg,3,17,2020-02-21T06:16:55Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-02-21,21
Dunkleman <3,Ugxhs4zSSbTH5F3HZLp4AaABAg,0,2,2020-02-20T08:45:25Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-02-20,22
the music sucks,Ugz9v6PwkksNBVupeGp4AaABAg,2,4,2020-02-20T06:29:19Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-02-20,22
"Pete Davidson: The Movie


Edit: 
 *Tongue daddy* 🤣🤣🤣",UgygXIoVgH0POylksPJ4AaABAg,0,13,2020-02-20T06:04:29Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-02-20,22
"""Nick. I'm 16.""😂",UgzGqRjVwpdJlRCULlp4AaABAg,0,13,2020-02-19T22:06:01Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-02-19,23
I can't wait,Ugwn3PzlKwNW422bL8d4AaABAg,0,0,2020-02-19T20:50:16Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-02-19,23
What the song use in it called.,Ugy5ltpNAVO7rye1znN4AaABAg,4,7,2020-02-19T19:04:05Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-02-19,23
Look really funny. I can't wait to see this.,UgyCAHgE5HVUvo14rk94AaABAg,1,4,2020-02-19T18:59:47Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-02-19,23
First,UgzJ7iKfzMxf0_hlZhB4AaABAg,0,0,2020-02-19T18:47:11Z,3QmJnsmjDx4,2020-03-13,https://www.imdb.com/title/tt3824648/?ref_=adv_li_tt,2020-02-19,23
Omg she's from Moonrise Kingdom!,Ugx-cVGNUeNdtRyo0694AaABAg,0,2,2020-04-03T17:26:41Z,p1DNZsCuPa0,2020-04-24,https://www.imdb.com/title/tt6886080/?ref_=adv_li_tt,2020-04-03,21
Moonrise kingdom girl!!!,UgyLsrJ-DWlk1glMYiR4AaABAg,0,6,2020-04-03T06:14:37Z,p1DNZsCuPa0,2020-04-24,https://www.imdb.com/title/tt6886080/?ref_=adv_li_tt,2020-04-03,21
I could have sworn that I saw this movie but it was in black and white ??,UgzGGtjrlyU8O41VCV94AaABAg,0,3,2020-04-02T17:20:26Z,p1DNZsCuPa0,2020-04-24,https://www.imdb.com/title/tt6886080/?ref_=adv_li_tt,2020-04-02,22
GORGEOUS BOY. Yes.,UgzMGGG0pCGTpDHMSUB4AaABAg,0,9,2020-04-02T13:47:39Z,p1DNZsCuPa0,2020-04-24,https://www.imdb.com/title/tt6886080/?ref_=adv_li_tt,2020-04-02,22
00:05 fat katherine waterston is a mood,Ugx4_Rou4R1X0apH3pN4AaABAg,0,3,2020-04-02T12:48:25Z,p1DNZsCuPa0,2020-04-24,https://www.imdb.com/title/tt6886080/?ref_=adv_li_tt,2020-04-02,22
i said what kind of bird are YOU?,Ugx7bi0PVLdYd_jgN414AaABAg,0,10,2020-04-02T06:22:30Z,p1DNZsCuPa0,2020-04-24,https://www.imdb.com/title/tt6886080/?ref_=adv_li_tt,2020-04-02,22
That gorgeous boy 💖 jade lucas zaumann,Ugy2F3eNzv_7kreurKN4AaABAg,0,8,2020-04-02T03:02:09Z,p1DNZsCuPa0,2020-04-24,https://www.imdb.com/title/tt6886080/?ref_=adv_li_tt,2020-04-02,22
So she’s weird why exactly?,Ugz0uumI05ulL2cG3jB4AaABAg,3,6,2020-04-02T02:33:28Z,p1DNZsCuPa0,2020-04-24,https://www.imdb.com/title/tt6886080/?ref_=adv_li_tt,2020-04-02,22
Dude the kid from Anne with a e is in this!,UgzSdO0cXaCUZ81fOup4AaABAg,0,27,2020-04-02T02:06:51Z,p1DNZsCuPa0,2020-04-24,https://www.imdb.com/title/tt6886080/?ref_=adv_li_tt,2020-04-02,22
Looks to be a thought provoking storyline...which do you choose...option A or option B?,UgyF4KSPD2r-BtWNz-t4AaABAg,1,1,2020-06-09T22:16:00Z,PoH8BKoWgLo,2020-06-26,https://www.imdb.com/title/tt6853934/?ref_=adv_li_tt,2020-06-09,17
Impressive!,UgxB3UaRgDoWd1zmaUt4AaABAg,0,0,2020-06-09T19:30:54Z,PoH8BKoWgLo,2020-06-26,https://www.imdb.com/title/tt6853934/?ref_=adv_li_tt,2020-06-09,17
I feel like I have seen the whole movie. No need for the trailer to go into such detail.,UgxzhV61aGFDVpGHHxt4AaABAg,0,4,2020-06-09T18:08:34Z,PoH8BKoWgLo,2020-06-26,https://www.imdb.com/title/tt6853934/?ref_=adv_li_tt,2020-06-09,17
patton is such an underutilised actor,UgxXIDMDbfRNwCRGlIl4AaABAg,2,9,2020-06-04T10:59:42Z,PoH8BKoWgLo,2020-06-26,https://www.imdb.com/title/tt6853934/?ref_=adv_li_tt,2020-06-04,22
2nd comment,Ugxym4p52Cb8FBbt7UF4AaABAg,0,0,2020-06-03T20:22:42Z,PoH8BKoWgLo,2020-06-26,https://www.imdb.com/title/tt6853934/?ref_=adv_li_tt,2020-06-03,23
Um...,UgyxgxyxN4sDO8LJ1f14AaABAg,0,1,2020-06-03T19:04:58Z,PoH8BKoWgLo,2020-06-26,https://www.imdb.com/title/tt6853934/?ref_=adv_li_tt,2020-06-03,23
How to fake a war ? ask the U.S.A,UgzolziCwO-MbNmQ7-d4AaABAg,0,1,2020-07-20T16:31:30Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-20,17
🤨,UgzSMtxnUO6ZAVGpSrB4AaABAg,0,0,2020-07-16T06:56:44Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-16,21
This is literally tropic thunder,UgyoAbUC_pUcqDe5yOB4AaABAg,0,0,2020-07-15T22:13:36Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-15,22
this looks like something reynholm industries would have invested in.,Ugz0ZQ-vEkBSi31MFtt4AaABAg,0,3,2020-07-15T16:30:41Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-15,22
"I'm no irishman, but i'd say about 90% of this was filmed in or around Ireland",UgwHvW3W560i63451zp4AaABAg,2,3,2020-07-15T13:37:19Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-15,22
This movie was already made in the 90's. It was called Wag the Dog.,UgyiAioRuF4c3tjYHGh4AaABAg,2,5,2020-07-15T09:01:27Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-15,22
Hope IS dope.,UgyfAG1MIIAHhqOpmCp4AaABAg,0,2,2020-07-15T06:09:57Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-15,22
damn jay pharoah fell off.,UgxFR1UaWAAcXfzWwE54AaABAg,0,0,2020-07-15T02:49:53Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-15,22
It's official...... they have run out of ideas.,Ugz2cnJdRlqGM2l5r4l4AaABAg,0,9,2020-07-15T02:08:34Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-15,22
This is what will happen when Kanye West becomes President,UgxFIuPZSv1lbEBnMlV4AaABAg,0,2,2020-07-15T01:24:48Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-15,22
"IDK.. not really funny.. and I have a sick sense of humor.   Seems a bit on the ""fake news"" and negative side right now.. I don't need to see a film that's kind of tone deaf atm.. maybe next yr.",UgzfXzAr1WpqI_UtayN4AaABAg,0,8,2020-07-14T23:52:12Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-14,23
Wack the dog?,Ugy6jE6A6qjwEo6Hl494AaABAg,0,4,2020-07-14T23:45:16Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-14,23
Is Jay chanelling Kanye in this one?,Ugw9KJ8ogmoBdOZovfV4AaABAg,2,16,2020-07-14T23:43:12Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-14,23
Jeeeeeeeeeeeeeeeeeeeeeeeen,Ugxs65Qp-Ct7J555TpF4AaABAg,0,0,2020-07-14T23:15:41Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-14,23
"👍 White Privilege is a Myth! 👍

It's Okay To Be White! 😎",UgzXkOUkiBkefBaikVN4AaABAg,5,1,2020-07-14T22:39:48Z,GaAyoYLj12k,2020-08-06,https://www.imdb.com/title/tt4665586/?ref_=adv_li_tt,2020-07-14,23
So Wicked!,Ugy3HubhGioDgVSvfyF4AaABAg,0,1,2021-01-29T10:37:23Z,9yesrYPzNnM,2021-02-05,https://www.imdb.com/title/tt2235372/?ref_=adv_li_tt,2021-01-29,7
Whats the name of that song,UgxxCcHtFSpvA2wBRGp4AaABAg,0,2,2021-01-15T00:24:33Z,9yesrYPzNnM,2021-02-05,https://www.imdb.com/title/tt2235372/?ref_=adv_li_tt,2021-01-15,21
"what's this? another white savior film? oh, great...",Ugzh55os94QC94VZVvF4AaABAg,1,27,2021-01-14T22:06:51Z,9yesrYPzNnM,2021-02-05,https://www.imdb.com/title/tt2235372/?ref_=adv_li_tt,2021-01-14,22
rest in peace brian dennehy.,UgzW-Tnqo5YDDT8XAiN4AaABAg,1,2,2021-01-14T17:40:40Z,9yesrYPzNnM,2021-02-05,https://www.imdb.com/title/tt2235372/?ref_=adv_li_tt,2021-01-14,22
Jesus died for you was buried and rose again on the third day according to the scriptures. If you confess with your mouth Jesus is lord and believe in your heart that God raised him from the dead you will be saved. please repent of your sins and accept Jesus Christ as your lord and savior.,UgzzENPApxbZc-9w-BB4AaABAg,1,8,2021-01-14T05:15:38Z,9yesrYPzNnM,2021-02-05,https://www.imdb.com/title/tt2235372/?ref_=adv_li_tt,2021-01-14,22
"They go 4 credits deep before they mention a single black actor in the film. 🤔 We've seen this film so many times, white people get centered in Black people's stories so they can have their ""feel-good moment"" and then go right back to whiteness in America 🙄 PASS!",Ugzl6ERydl719b0sb0R4AaABAg,4,38,2021-01-13T23:51:28Z,9yesrYPzNnM,2021-02-05,https://www.imdb.com/title/tt2235372/?ref_=adv_li_tt,2021-01-13,23
What is this?!?!,UgzY1HfG0E5pY6MINtl4AaABAg,0,4,2021-01-13T22:58:08Z,9yesrYPzNnM,2021-02-05,https://www.imdb.com/title/tt2235372/?ref_=adv_li_tt,2021-01-13,23
Daaamn white guy front line in pretty much the first black lives matter movement. Choosing can be costly but necessary.👍,UgwHyIGtkobE5PttBkV4AaABAg,0,16,2021-01-13T22:54:29Z,9yesrYPzNnM,2021-02-05,https://www.imdb.com/title/tt2235372/?ref_=adv_li_tt,2021-01-13,23
Looks good,Ugwaqd96jRiA_NA7U6J4AaABAg,0,0,2021-01-13T22:30:20Z,9yesrYPzNnM,2021-02-05,https://www.imdb.com/title/tt2235372/?ref_=adv_li_tt,2021-01-13,23
Why is the movie so tacky?,UgxS_-1KVJzdJKd29Wh4AaABAg,0,0,2021-05-05T02:26:44Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-05-05,2
"So this is the prequel to the Bye Bye Man, right?",UgwnyWEaH-_suahXLyB4AaABAg,0,0,2021-05-04T20:03:22Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-05-04,3
"As soon as I see David Oyelowo, then I know it will be about hope! Then I have to watch it! 😊😊❤",UgxiVc1F1JpvfUi5cXx4AaABAg,0,5,2021-05-03T17:30:48Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-05-03,4
Yawn.... I think we can safely say a pure Woke film.,Ugy6ySqRfBAE5zfdW754AaABAg,0,0,2021-04-28T09:18:24Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-28,9
Ok but that end was like theater quality,Ugxj5jbSsXQub4mFaFJ4AaABAg,0,3,2021-04-27T10:13:15Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-27,10
Gats🎨,UgwJvlQKtMiRO2otfXx4AaABAg,0,0,2021-04-25T00:31:59Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-25,12
Date ???,UgyzbWuWA7wguLG1jBt4AaABAg,0,0,2021-04-24T21:08:26Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-24,13
Tonally this seems kind of all over the place. I mean if he wants the waterman's help why has he brought a katana?,Ugxl88Cg0LBETLDhQV54AaABAg,1,6,2021-04-24T08:11:34Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-24,13
Generic kids go into forest and become Schizo.,UgxpXFA-LLBW9C_6Qgl4AaABAg,0,0,2021-04-22T19:06:29Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-22,15
Yes..because American children often roam the woods with katanas...,UgxxC0M5ojGAoYaXIpd4AaABAg,0,0,2021-04-22T15:17:08Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-22,15
So that was Michonne's son before the outbreak?,UgyDfXeeTXxUdYJopfZ4AaABAg,1,2,2021-04-20T23:59:16Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-20,17
Wow.......,UgwMiN2t5H-PH552auV4AaABAg,0,0,2021-04-20T15:57:17Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-20,17
"This better not end with it being his imagination the whole time, or some BS like that.",UgyDQVh1H5d2jQAah_94AaABAg,8,75,2021-04-20T10:35:34Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-20,17
A Water Monster Calls,UgyDcdn91FfRs-1tNFB4AaABAg,0,0,2021-04-20T00:07:27Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-20,17
Black man swerves around police barrier with no consequences? Definitely a fantasy film..,UgzhkYwcOmkkyv1nBEF4AaABAg,0,1,2021-04-19T21:24:58Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-19,18
Oh cool I seen the whole movie already! Thanks trailer,Ugz6vYQ51o_9LODh1-14AaABAg,0,8,2021-04-19T15:29:14Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-19,18
"Water man vs aqua man ?
Coments for waterman
Like for Aquaman",UgyRviXxvVdvndHSzft4AaABAg,0,0,2021-04-19T11:38:26Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-19,18
"Its been many a year since I've seen a  trailer for a different kind of movie that just made me get so hyped...and im still waiting, damn it",UgyLX0KFqdu4rlevqiF4AaABAg,0,9,2021-04-19T00:25:53Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-19,18
Name of final music???,UgyBBuKmudy_y1TAZP94AaABAg,1,0,2021-04-18T22:42:21Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-18,19
A Monster Calls: Mishmash,UgyTS89nGXOTyrrL7U94AaABAg,0,0,2021-04-18T22:05:34Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-18,19
Is this the long awaited sequel to water boy?,UgxpOZksLlyFK8SRq_h4AaABAg,0,2,2021-04-18T21:59:59Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-18,19
Wow Randall got adopted again ??!!,UgzSYw70NHWPuGPUFFB4AaABAg,0,0,2021-04-18T07:55:38Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-18,19
"the water man isn't real and his mom dies, the movie is an allegory for the stages of grief blablablablabla baby's first metaphor",UgxyUV733DSWhHxRAlV4AaABAg,4,1,2021-04-17T23:03:58Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-17,20
9163589099,UgyAmDoQ_C0p2DK9RV54AaABAg,0,0,2021-04-17T21:18:39Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-17,20
"This is a weird looking Sequel!
No notable reference to the first one at all, and not even any sign of Adam Sandler. Strange...",UgxVKVmAVT1bxdpevCV4AaABAg,0,0,2021-04-17T13:54:10Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-17,20
"So ""Bridge to Terabithia"" meets... ""A Nightmare on Elm Street""?",UgxRJrQk-7ZHIi9Y7nF4AaABAg,0,20,2021-04-16T23:01:08Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-16,21
"Don't worry, it's PG!",UgwrBonRcT3SDUw-t7h4AaABAg,0,0,2021-04-16T22:47:57Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-16,21
I'm in!,Ugz6K6RbzMYfCSACBYR4AaABAg,0,0,2021-04-16T22:11:03Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-16,21
"I was hoping it will turn into a bloody horror, but it didn’t...",UgzQvnIaNMdTp-v8in54AaABAg,0,0,2021-04-16T09:51:04Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-16,21
All you have to do is change the music and the trailer becomes a horror again,Ugz5_OAi9ZOPtHH2As14AaABAg,0,3,2021-04-16T04:42:54Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-16,21
Love it.,UgxpP8-CdyX1wtTheDF4AaABAg,0,0,2021-04-16T01:48:41Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-16,21
Let me guess “the water man” is inside all of us and his mom dies,UgyicKReWTNDFo3bHtV4AaABAg,0,0,2021-04-15T23:19:54Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-15,22
NO OFFENDS but I read it as “The Watermelon Man” on first sight,UgzdZ1J_D5Z63R-RWSN4AaABAg,2,12,2021-04-15T16:21:20Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-15,22
"so this isn't a sequel to ""the waterboy"" then?",Ugw204pLAXdNtg7hcJ94AaABAg,1,4,2021-04-15T14:47:14Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-15,22
reminded me of the anime ima sokoni iru boku tbh,UgynpipiOK2etaG08zV4AaABAg,0,0,2021-04-15T14:34:13Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-15,22
"I thought that was a younger version of Justice Smith, man they look alike",Ugyp9FH-K3jpOF5Zv_d4AaABAg,0,1,2021-04-15T13:40:00Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-15,22
Why they showing the whole movie on the trailer?,Ugw_a1xnlCXaf8tR7S94AaABAg,0,0,2021-04-15T12:51:15Z,Z2w3PV4j98Y,2021-05-07,https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,2021-04-15,22
